                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.83598,                  0.706,                 1.0947,                0.89883,                0.69524,                0.77668,                0.48801,                 1.3327,                0.80236,                 1.4246,             0.00027221,             0.00027221,             0.00027221
                     77,                0.82373,                0.70227,                 1.0901,                0.91123,                0.69549,                0.79029,                0.47818,                 1.3538,                0.81032,                 1.4575,             0.00026632,             0.00026632,             0.00026632
                     78,                0.82747,                0.69552,                 1.0875,                0.93218,                0.68851,                0.78493,                0.48897,                 1.3187,                0.81074,                 1.4044,             0.00026043,             0.00026043,             0.00026043
                     79,                0.82887,                0.69887,                 1.0891,                0.91044,                0.70196,                0.78286,                0.48375,                 1.3449,                0.80877,                 1.4388,             0.00025454,             0.00025454,             0.00025454
                     80,                0.82372,                0.69484,                 1.0881,                  0.887,                 0.6931,                0.77806,                0.48735,                 1.3294,                 0.8143,                 1.4392,             0.00024865,             0.00024865,             0.00024865
                     81,                0.81366,                0.68765,                 1.0805,                0.91447,                0.71945,                0.79093,                0.48403,                 1.3515,                0.81413,                   1.47,             0.00024276,             0.00024276,             0.00024276
                     82,                0.82113,                0.68592,                 1.0803,                0.85921,                0.72024,                0.77823,                0.47949,                 1.3212,                0.82488,                 1.4263,             0.00023687,             0.00023687,             0.00023687
                     83,                0.81511,                0.68455,                 1.0795,                0.90814,                0.70821,                0.78155,                0.47475,                 1.3639,                0.81076,                 1.4572,             0.00023098,             0.00023098,             0.00023098
                     84,                0.81097,                0.67968,                 1.0798,                0.86828,                0.71574,                0.78303,                0.49096,                 1.3152,                0.78603,                 1.4098,             0.00022509,             0.00022509,             0.00022509
                     85,                0.80864,                0.67236,                 1.0747,                0.89191,                0.71841,                0.78099,                0.48697,                  1.321,                 0.7928,                 1.4239,              0.0002192,              0.0002192,              0.0002192
                     86,                0.80517,                0.66932,                 1.0738,                0.87433,                0.72856,                0.78314,                0.46976,                 1.3731,                0.81631,                 1.4739,             0.00021331,             0.00021331,             0.00021331
                     87,                0.80942,                0.67375,                 1.0711,                0.86382,                0.72225,                0.78441,                0.48725,                 1.3274,                0.77745,                 1.4332,             0.00020742,             0.00020742,             0.00020742
                     88,                0.80872,                0.67362,                 1.0794,                0.89294,                0.71405,                0.79364,                0.49387,                 1.3223,                0.76334,                 1.4109,             0.00020153,             0.00020153,             0.00020153
                     89,                0.80008,                0.66192,                 1.0716,                0.89044,                 0.7176,                0.78859,                0.50023,                 1.2781,                0.79134,                 1.3981,             0.00019564,             0.00019564,             0.00019564
                     90,                0.79935,                0.65834,                 1.0728,                0.91253,                0.70975,                 0.7934,                0.49592,                 1.3016,                0.76822,                 1.4103,             0.00018975,             0.00018975,             0.00018975
                     91,                0.79857,                0.65908,                 1.0711,                0.92363,                0.71697,                0.79054,                 0.4942,                 1.3143,                0.77968,                 1.4285,             0.00018385,             0.00018385,             0.00018385
                     92,                0.79468,                0.66087,                 1.0727,                0.89323,                 0.7158,                0.78653,                0.49336,                 1.3143,                0.77107,                 1.4131,             0.00017796,             0.00017796,             0.00017796
                     93,                0.77895,                0.64971,                 1.0643,                0.88595,                0.72495,                0.78866,                0.50045,                 1.2724,                0.77134,                 1.3872,             0.00017207,             0.00017207,             0.00017207
                     94,                0.78908,                0.65583,                 1.0659,                0.91143,                0.70877,                0.78815,                0.48366,                 1.3552,                0.77417,                 1.4368,             0.00016618,             0.00016618,             0.00016618
                     95,                0.78089,                0.64892,                 1.0642,                0.90394,                0.71385,                0.78327,                  0.499,                 1.2833,                0.77283,                 1.3979,             0.00016029,             0.00016029,             0.00016029
                     96,                0.78499,                0.64487,                 1.0625,                0.86986,                0.72498,                0.78881,                0.49905,                 1.2851,                0.75812,                 1.3905,              0.0001544,              0.0001544,              0.0001544
                     97,                 0.7798,                0.64764,                 1.0614,                0.90118,                0.71146,                0.79288,                0.49405,                 1.3045,                0.77654,                 1.4132,             0.00014851,             0.00014851,             0.00014851
                     98,                0.77485,                 0.6414,                 1.0601,                0.89049,                0.70883,                0.78459,                 0.4938,                 1.3297,                0.78519,                 1.4268,             0.00014262,             0.00014262,             0.00014262
                     99,                0.77963,                0.64272,                 1.0593,                0.89621,                0.71166,                0.78813,                0.50848,                  1.264,                0.77362,                 1.3806,             0.00013673,             0.00013673,             0.00013673
                    100,                0.77731,                0.64501,                 1.0561,                0.91248,                0.71541,                0.79203,                0.49994,                 1.2953,                0.76801,                 1.4097,             0.00013084,             0.00013084,             0.00013084
                    101,                0.76135,                0.63602,                 1.0527,                0.88293,                 0.7176,                0.78906,                0.50362,                 1.2775,                0.76695,                 1.4039,             0.00012495,             0.00012495,             0.00012495
                    102,                 0.7678,                0.63217,                 1.0509,                0.88069,                 0.7317,                0.79463,                 0.5052,                  1.277,                0.77017,                 1.4001,             0.00011906,             0.00011906,             0.00011906
                    103,                0.76699,                0.62838,                 1.0526,                0.90474,                0.72127,                0.79009,                0.50833,                 1.2705,                0.75436,                 1.3887,             0.00011317,             0.00011317,             0.00011317
                    104,                0.76233,                0.63011,                 1.0566,                0.90722,                 0.7277,                0.79799,                0.50486,                 1.2792,                0.75253,                 1.3908,             0.00010728,             0.00010728,             0.00010728
                    105,                0.76752,                 0.6333,                 1.0548,                0.89571,                0.72772,                0.79032,                0.50445,                 1.2865,                0.76206,                 1.3928,             0.00010139,             0.00010139,             0.00010139
                    106,                 0.7564,                0.62447,                 1.0521,                0.88486,                0.72352,                0.79184,                0.50806,                  1.279,                0.75088,                 1.3876,             9.5498e-05,             9.5498e-05,             9.5498e-05
                    107,                0.75581,                0.61982,                 1.0498,                0.89633,                0.71986,                0.78805,                0.51096,                 1.2546,                0.74683,                 1.3661,             8.9607e-05,             8.9607e-05,             8.9607e-05
                    108,                0.76211,                0.62486,                 1.0476,                0.90449,                0.72005,                0.79485,                0.51135,                 1.2641,                0.74338,                 1.3673,             8.3716e-05,             8.3716e-05,             8.3716e-05
                    109,                 0.7471,                0.61715,                 1.0481,                 0.9081,                0.73073,                0.80243,                0.50482,                 1.2817,                0.73692,                 1.3913,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    110,                0.75581,                0.62285,                 1.0469,                0.89062,                0.72864,                0.79906,                0.50797,                 1.2754,                0.74948,                 1.3835,             7.1936e-05,             7.1936e-05,             7.1936e-05
                    111,                0.76442,                0.55446,                 1.0502,                0.88395,                0.72193,                0.78952,                0.50028,                 1.2846,                0.76726,                 1.3892,             6.6045e-05,             6.6045e-05,             6.6045e-05
                    112,                0.74394,                0.53428,                 1.0366,                0.90082,                0.71229,                0.78921,                0.49949,                 1.2803,                0.76004,                 1.3892,             6.0154e-05,             6.0154e-05,             6.0154e-05
                    113,                0.74507,                0.53054,                 1.0357,                 0.8685,                0.72609,                0.79018,                0.50734,                 1.2752,                0.74244,                 1.3844,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    114,                0.73574,                0.52511,                 1.0332,                0.89263,                0.71802,                0.79854,                0.50339,                 1.2783,                0.73801,                 1.3942,             4.8374e-05,             4.8374e-05,             4.8374e-05
                    115,                0.73623,                0.52281,                 1.0319,                0.92014,                0.70195,                0.79349,                0.50812,                 1.2577,                0.74558,                 1.3711,             4.2483e-05,             4.2483e-05,             4.2483e-05
                    116,                0.72688,                0.52524,                  1.031,                0.90253,                0.71267,                0.79343,                0.50596,                 1.2773,                0.74534,                 1.3912,             3.6592e-05,             3.6592e-05,             3.6592e-05
                    117,                0.72861,                 0.5179,                 1.0303,                0.90099,                0.71369,                0.79414,                 0.5079,                 1.2663,                0.73859,                 1.3841,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    118,                0.72521,                0.51447,                 1.0276,                0.89121,                0.71332,                0.79313,                 0.5102,                 1.2588,                0.74121,                 1.3816,             2.4812e-05,             2.4812e-05,             2.4812e-05
                    119,                0.72195,                0.50935,                 1.0241,                0.84843,                0.74235,                0.79562,                0.51284,                 1.2635,                  0.738,                 1.3836,             1.8921e-05,             1.8921e-05,             1.8921e-05
                    120,                0.72244,                 0.5141,                 1.0276,                0.88106,                0.71883,                0.79709,                0.51293,                 1.2611,                 0.7334,                 1.3823,              1.303e-05,              1.303e-05,              1.303e-05
